Label,Confidence,Full Tweet,Sanitized Tweet
neg,1.0,RT @findurmeme: hey hey how y’all doin doing little women atlanta walking into birthday party entering awkward music playing embarrassing t…,hey hey y’all doin little women atlanta walking birthday party entering awkward music playing embarrassing t…
pos,1.0,@Miss_magnolia20 Happy birthday!! 🎂,happy birthday!! 🎂
pos,1.0,@enbyboris so happy for you 🥺🥺,happy 🥺🥺
pos,1.0,"RT @localemoblackie: how are you depressed??? just smile tf   💯 be happy, damn","depressed??? smile tf 💯 happy, damn"
pos,1.0,Happy Birthday Bullie!! Xoxoxo 😘❤ https://t.co/qwYTxFd3O1,happy birthday bullie!! xoxoxo 😘❤
pos,1.0,RT @AstroDrewMorgan: The Earth is beautiful—and an Earth in crisis is still an Earth worth returning to. I’m so glad to be on my home plane…,earth beautiful—and earth crisis still earth worth returning to. i’m glad home plane…
neutral,0.75,"RT @LashpopCo: 🟡🟢🔵🟣SWIPE!!!!🟣🔵🟢🟡 
_

HEY BEAUTIES 👋🏽🤩
_
So happy to announce that my site is officially back up and running!
A big THANK YO…",🟡🟢🔵🟣swipe!!!!🟣🔵🟢🟡 hey beauties 👋🏽🤩 happy announce site officially back running! big thank yo…
pos,1.0,RT @ComedyCentral: Happy Earth Day. Don't forget the four R's. https://t.co/xfRBfC8r9s,happy earth day. forget four r's.
pos,1.0,"RT @HaechanthePudu: Happy birthday Lee Jeno!☺️💚
#HAPPYJENODAY 
~ Minisun☀️

@NCTsmtown_DREAM https://t.co/JS7gyObjPT",happy birthday lee jeno!☺️💚 happyjenoday minisun☀️
pos,1.0,Happy birthday lesbians,happy birthday lesbians
neg,1.0,RT @Mariana14536340: @rozazalea @shellzfairy @AnnieEJones1 @dai70d @ejlazar @rodmedi12 @Metanoia100 @Alchemist900 @zaFsgyxzzWjATup @Date_11…,
pos,1.0,"RT @JacksonWang852: Happy birthday to mommy🎂🎉
Wish I can stay with you and celebrate
Everyday every second every moment
I feel blessed to b…",happy birthday mommy🎂🎉 wish stay celebrate everyday every second every moment feel blessed b…
pos,1.0,RT @DrStone_EN: Happy #EarthDay! 🌎 https://t.co/cY7gT9cgPm,happy earthday! 🌎
neg,1.0,"RT @Harvard4Bernie: Happy #EarthDay!

Here are the top 20 recipients of oil and gas money in 2020:

John Cornyn (R-TX)
Kevin McCarthy (R-CA…",happy earthday! top 20 recipients oil gas money 2020: john cornyn (r-tx) kevin mccarthy (r-ca…
pos,1.0,RT @RealMiniAOC: Do you get the feeling that everyone will be happy when this crisis is over except Democrats and the media?,get feeling everyone happy crisis except democrats media?
pos,1.0,RT @jadenhossler: happy earth day ! i’m gonna start traveling as soon as quarantine is over so i can see the beauty that is earth&lt;3,happy earth day i’m gonna start traveling soon quarantine see beauty earth&lt;3
pos,1.0,@cshell_eh @freddybear62 @JustinTrudeau Have you actually heard it is “healed”?  I haven’t.  But there are many ways in which it is healing.  Happy #EarthDay2020,actually heard “healed”? haven’t. many ways healing. happy earthday2020
neutral,0.75,"RT @akillah_joor: The best is what u deserve for all that ur are Bamike😍🔥
Ur a rare Germ n a blessing to those arround u!
Such a sweetheart…",best u deserve ur bamike😍🔥 ur rare germ n blessing arround u! sweetheart…
pos,1.0,"RT @TomFitton: Again, I'd be happy to attend the White House briefing for @JudicialWatch.","again, i'd happy attend white house briefing"
neg,1.0,imagine thinking I would do nothing to protect this happy-cute-baby smile https://t.co/Z1A5ABE6VS,imagine thinking would nothing protect happy-cute-baby smile
pos,1.0,"RT @KaiRossBests: happy national tea day, remember to drink tea and only tea today, if you drink anything else you will be smitten by the t…","happy national tea day, remember drink tea tea today, drink anything else smitten t…"
pos,1.0,RT @lucytynanx: 21 today and my dads woken up out of  his coma today and wished me a happy birthday 😩😩😩 the best day of my life,21 today dads woken coma today wished happy birthday 😩😩😩 best day life
pos,1.0,Happy 50th anniversary for Earth Day! Swipe to see how you can help our planet. #TeamLakes #EarthDay #miamischools #charterschools #schoolchoice https://t.co/s1HtYOpXxJ,happy 50th anniversary earth day! swipe see help planet. teamlakes earthday miamischools charterschools schoolchoice
pos,1.0,"RT @USASwimming: Happy birthday, @zane_growth_ee!  🥳🙌🎊

( 📸: @Mike2Swim) https://t.co/KNlMiEkqUa","happy birthday, 🥳🙌🎊 📸:"
pos,1.0,@A_Bukhamsin Happy birthday Abdulla💟🎈,happy birthday abdulla💟🎈
pos,1.0,"RT @TomFitton: Again, I'd be happy to attend the White House briefing for @JudicialWatch. https://t.co/d1TmBiGRI2","again, i'd happy attend white house briefing"
pos,1.0,"@ABID83384480 @meNabster Yes thanks so much ,ameen may ALLAH listen to you 
always and may you always be heard every dua you make we pray you are always happy and stand for your rights of ISLAM .THANKS!!!","yes thanks much ,ameen may allah listen always may always heard every dua make pray always happy stand rights islam .thanks!!!"
pos,1.0,@chaengmoles HAPPY BIRTHDAY CHARLYYYYYY !!! 💕,happy birthday charlyyyyyy !!! 💕
neutral,0.75,"RT @NCTsmtown: 🎂HAPPY BIRTHDAY TO #JENO
WE💚YOU

#HAPPYJENODAY
#제노 #NCT #NCTDREAM https://t.co/C12ZzvxAzM",🎂happy birthday jeno we💚you happyjenoday 제노 nct nctdream
pos,1.0,Happy Administrative Professional’s Day to Ms. Angela Payne and Ms. Latrice Foster!  We appreciate everything that you both do for Kelley Lake. #kelleylakelions  #administrativeprofessionalsday @ Kelley Lake… https://t.co/fgpa7RUT3F,happy administrative professional’s day ms. angela payne ms. latrice foster! appreciate everything kelley lake. kelleylakelions administrativeprofessionalsday kelley lake…
irrelevant,,I’m so happy I got dope ass co workers and a chill boss,i’m happy got dope ass co workers chill boss
pos,1.0,RT @darIingful: you have this incredible way of making my heart really REALLY happy,incredible way making heart really really happy
pos,1.0,Happy Earth Day! Photos: Earth Day 50—via @TheAtlPhoto: https://t.co/nDnHz1pDtL,happy earth day! photos: earth day 50—via
pos,1.0,"@Weefyy i dont know wether to be happy insulted or 

wait actually hes a simp for all might so maybe maybe",dont know wether happy insulted wait actually hes simp might maybe maybe
pos,1.0,RT @marixtzaaa: Happy earth day:’) https://t.co/a5HR1FIDlZ,happy earth day:’)
pos,1.0,RT @DwightSchrute_: Happy Earth Day from the one and only Recyclops https://t.co/2k3oeDT4Ik,happy earth day one recyclops
pos,1.0,RT @DwightSchrute_: Happy Earth Day from the one and only Recyclops https://t.co/2k3oeDT4Ik,happy earth day one recyclops
pos,1.0,@hmees7_ Ohh Happy Birthday 7bibi🥺❤️❤️❤️,ohh happy birthday 7bibi🥺❤️❤️❤️
pos,1.0,RT @TraceeEllisRoss: Thank you to our planet. Happy #EarthDay! https://t.co/8bgQe9GZzW,thank planet. happy earthday!
