Label,Confidence,Full Tweet,Sanitized Tweet
pos,1.0,RT @BleacherReport: Wilt didn’t back down to Jordan in the GOAT debate 😳 https://t.co/vh4bXkwX2h,wilt didn’t back jordan goat debate 😳
neutral,0.7142857142857143,@realDonaldTrump @Jim_Jordan I think GYM knows all about dirty.  https://t.co/RdHIeQEce6,think gym knows dirty.
pos,1.0,"@Jim_Jordan We can tell you’ve been coached well by your role model sexual-abuser-in-chief to deny deny deny and yell yell yell to intimidate, distract and project.  Jehovah!","tell you’ve coached well role model sexual-abuser-in-chief deny deny deny yell yell yell intimidate, distract project. jehovah!"
pos,1.0,@Warrior65J @jacobiashani Thank you Jordan💗,thank jordan💗
neg,1.0,@realDonaldTrump @Jim_Jordan There's a lot more wrong with you than dirty cops. 60k dead. Nearly $4T gone between tax scam and the covid money grab. Oh! And the treason. We can't forget about your treason.,there's lot wrong dirty cops. 60k dead. nearly $4t gone tax scam covid money grab. oh! treason. can't forget treason.
pos,0.8571428571428571,RT @Travonne: Wilt Chamberlain gives his opinion on Michael Jordan being the GOAT https://t.co/edKjm0k9mJ,wilt chamberlain gives opinion michael jordan goat
pos,1.0,RT @ChiChiGreenblat: You guys have to do this! 😂 https://t.co/GnY3LLqEtw,guys this! 😂
neutral,0.5714285714285714,RT @Raisingirl_Indy: @JudiciaryGOP @Jim_Jordan How is it possible that Reality Winner is still in jail trying to warn the USA that Russia w…,possible reality winner still jail trying warn usa russia w…
neutral,0.7142857142857143,"@realDonaldTrump @Jim_Jordan Nobody gives a shit, sir.
Just like nobody gives a shit about the polls, or who’s #1 on Facebook.
Just sit quietly and let the experts speak, OK? 
It is aften better to be quiet and be merely thought a fool, than to open your mouth and remove any doubt.","nobody gives shit, sir. like nobody gives shit polls, who’s 1 facebook. sit quietly let experts speak, ok? aften better quiet merely thought fool, open mouth remove doubt."
neg,1.0,@realDonaldTrump @Jim_Jordan How long until the late night Tweeting shit storm? Probably depends on how late you snorted your last Adderall right? https://t.co/qNdKBPey5K,long late night tweeting shit storm? probably depends late snorted last adderall right?
neutral,0.7142857142857143,Do females buy their dude the latest Jordan’s? 🧐,females buy dude latest jordan’s? 🧐
pos,1.0,"RT @maryod23: They will let Rogan get away with hurting Jay on purpose, but MTV got rid of Turbo for scaring little Jordan
 #thechallenge35…","let rogan get away hurting jay purpose, mtv got rid turbo scaring little jordan thechallenge35…"
