Label,Confidence,Full Tweet,Sanitized Tweet
pos,1.0,RT @seb_anthony2010: @StephenAtHome Your greatest fear growing up was speaking to strangers because your feared that your Southern accent w…,greatest fear growing speaking strangers feared southern accent w…
neutral,0.75,"RT @KatiePhang: Florida, Georgia, South Carolina, Tennessee, Alabama, and Mississippi: just call them the #SickSix  https://t.co/a9LOadpKIJ","florida, georgia, south carolina, tennessee, alabama, mississippi: call sicksix"
neutral,0.75,"RT @JRehling: South Carolina, Georgia, Mississippi, Alabama, Florida, and Tennessee are getting together to do things their way. When has t…","south carolina, georgia, mississippi, alabama, florida, tennessee getting together things way. t…"
neutral,0.75,"RT @KatiePhang: Florida, Georgia, South Carolina, Tennessee, Alabama, and Mississippi: just call them the #SickSix  https://t.co/a9LOadpKIJ","florida, georgia, south carolina, tennessee, alabama, mississippi: call sicksix"
irrelevant,,RT @MaxineSykes: @CJ_isnowblue @Yamiche Trump just threw Georgia’s governor under bus In fact he just threw that whole southern region unde…,trump threw georgia’s governor bus fact threw whole southern region unde…
neutral,0.75,"RT @JRehling: South Carolina, Georgia, Mississippi, Alabama, Florida, and Tennessee are getting together to do things their way. When has t…","south carolina, georgia, mississippi, alabama, florida, tennessee getting together things way. t…"
irrelevant,,RT @MaxineSykes: @CJ_isnowblue @Yamiche Trump just threw Georgia’s governor under bus In fact he just threw that whole southern region unde…,trump threw georgia’s governor bus fact threw whole southern region unde…
neutral,0.75,"RT @JRehling: South Carolina, Georgia, Mississippi, Alabama, Florida, and Tennessee are getting together to do things their way. When has t…","south carolina, georgia, mississippi, alabama, florida, tennessee getting together things way. t…"
irrelevant,,RT @KTBrown305: Blessed to announce that I will be continuing my academic and athletic career at Georgia Southern University!Thank you to e…,blessed announce continuing academic athletic career georgia southern university!thank e…
neutral,0.75,"RT @KatiePhang: Florida, Georgia, South Carolina, Tennessee, Alabama, and Mississippi: just call them the #SickSix  https://t.co/a9LOadpKIJ","florida, georgia, south carolina, tennessee, alabama, mississippi: call sicksix"
neg,1.0,RT @NWSSPC: 12:31pm CDT #SPC Day2 Outlook Enhanced Risk: thursday through thursday night across southeastern mississippi central and southe…,12:31pm cdt spc day2 outlook enhanced risk: thursday thursday night across southeastern mississippi central southe…
neutral,0.75,"RT @KatiePhang: Florida, Georgia, South Carolina, Tennessee, Alabama, and Mississippi: just call them the #SickSix  https://t.co/a9LOadpKIJ","florida, georgia, south carolina, tennessee, alabama, mississippi: call sicksix"
neg,1.0,"RT @GeorgiaSouthern: What do you do when you can't visit Paulson Stadium for graduation? Build it in Minecraft, of course! Check out this v…","can't visit paulson stadium graduation? build minecraft, course! check v…"
neg,1.0,"@Panthers Chris Hall, Georgia Southern","chris hall, georgia southern"
irrelevant,,RT @MaxineSykes: @CJ_isnowblue @Yamiche Trump just threw Georgia’s governor under bus In fact he just threw that whole southern region unde…,trump threw georgia’s governor bus fact threw whole southern region unde…
irrelevant,,RT @MaxineSykes: @CJ_isnowblue @Yamiche Trump just threw Georgia’s governor under bus In fact he just threw that whole southern region unde…,trump threw georgia’s governor bus fact threw whole southern region unde…
neg,1.0,"RT @Qjacks13: 850 back in statesboro! Yessirrrr, Georgia Southern got a good one","850 back statesboro! yessirrrr, georgia southern got good one"
neutral,0.75,"RT @alfred_twu: April 20 update - Led by Georgia, six Southern states with Republican governors plan to coordinate.  North Carolina, which…","april 20 update led georgia, six southern states republican governors plan coordinate. north carolina, which…"
